========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-11-18 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-11-18 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2018-11-18 00:00  to 2018-11-18 00:15,0.000,,
2018-11-18 00:15  to 2018-11-18 00:30,0.000,,
2018-11-18 00:30  to 2018-11-18 00:45,0.000,,
2018-11-18 00:45  to 2018-11-18 01:00,0.000,,
2018-11-18 01:00  to 2018-11-18 01:15,0.000,,
2018-11-18 01:15  to 2018-11-18 01:30,0.000,,
2018-11-18 01:30  to 2018-11-18 01:45,0.000,,
2018-11-18 01:45  to 2018-11-18 02:00,0.000,,
2018-11-18 02:00  to 2018-11-18 02:15,0.000,,
2018-11-18 02:15  to 2018-11-18 02:30,0.000,,
2018-11-18 02:30  to 2018-11-18 02:45,0.000,,
2018-11-18 02:45  to 2018-11-18 03:00,0.000,,
2018-11-18 03:00  to 2018-11-18 03:15,0.000,,
2018-11-18 03:15  to 2018-11-18 03:30,0.000,,
2018-11-18 03:30  to 2018-11-18 03:45,0.000,,
2018-11-18 03:45  to 2018-11-18 04:00,0.000,,
2018-11-18 04:00  to 2018-11-18 04:15,0.000,,
2018-11-18 04:15  to 2018-11-18 04:30,0.000,,
2018-11-18 04:30  to 2018-11-18 04:45,0.000,,
2018-11-18 04:45  to 2018-11-18 05:00,0.000,,
2018-11-18 05:00  to 2018-11-18 05:15,0.000,,
2018-11-18 05:15  to 2018-11-18 05:30,0.000,,
2018-11-18 05:30  to 2018-11-18 05:45,0.000,,
2018-11-18 05:45  to 2018-11-18 06:00,0.000,,
2018-11-18 06:00  to 2018-11-18 06:15,0.000,,
2018-11-18 06:15  to 2018-11-18 06:30,0.000,,
2018-11-18 06:30  to 2018-11-18 06:45,0.000,,
2018-11-18 06:45  to 2018-11-18 07:00,0.000,,
2018-11-18 07:00  to 2018-11-18 07:15,0.000,,
2018-11-18 07:15  to 2018-11-18 07:30,0.000,,
2018-11-18 07:30  to 2018-11-18 07:45,0.000,,
2018-11-18 07:45  to 2018-11-18 08:00,0.000,,
