========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-12-03 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-12-03 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2018-12-03 00:00  to 2018-12-03 00:15,0.000,,
2018-12-03 00:15  to 2018-12-03 00:30,0.000,,
2018-12-03 00:30  to 2018-12-03 00:45,0.000,,
2018-12-03 00:45  to 2018-12-03 01:00,0.000,,
2018-12-03 01:00  to 2018-12-03 01:15,0.000,,
2018-12-03 01:15  to 2018-12-03 01:30,0.000,,
2018-12-03 01:30  to 2018-12-03 01:45,0.000,,
2018-12-03 01:45  to 2018-12-03 02:00,0.000,,
2018-12-03 02:00  to 2018-12-03 02:15,0.000,,
2018-12-03 02:15  to 2018-12-03 02:30,0.000,,
2018-12-03 02:30  to 2018-12-03 02:45,0.000,,
2018-12-03 02:45  to 2018-12-03 03:00,0.000,,
2018-12-03 03:00  to 2018-12-03 03:15,0.000,,
2018-12-03 03:15  to 2018-12-03 03:30,0.000,,
2018-12-03 03:30  to 2018-12-03 03:45,0.000,,
2018-12-03 03:45  to 2018-12-03 04:00,0.000,,
2018-12-03 04:00  to 2018-12-03 04:15,0.000,,
2018-12-03 04:15  to 2018-12-03 04:30,0.000,,
2018-12-03 04:30  to 2018-12-03 04:45,0.000,,
2018-12-03 04:45  to 2018-12-03 05:00,0.000,,
2018-12-03 05:00  to 2018-12-03 05:15,0.000,,
2018-12-03 05:15  to 2018-12-03 05:30,0.000,,
2018-12-03 05:30  to 2018-12-03 05:45,0.000,,
2018-12-03 05:45  to 2018-12-03 06:00,0.000,,
2018-12-03 06:00  to 2018-12-03 06:15,0.000,,
2018-12-03 06:15  to 2018-12-03 06:30,0.000,,
2018-12-03 06:30  to 2018-12-03 06:45,0.000,,
2018-12-03 06:45  to 2018-12-03 07:00,0.000,,
2018-12-03 07:00  to 2018-12-03 07:15,0.000,,
2018-12-03 07:15  to 2018-12-03 07:30,0.000,,
2018-12-03 07:30  to 2018-12-03 07:45,0.000,,
2018-12-03 07:45  to 2018-12-03 08:00,0.000,,
2018-12-03 08:00  to 2018-12-03 08:15,0.000,,
2018-12-03 08:15  to 2018-12-03 08:30,0.000,,
2018-12-03 08:30  to 2018-12-03 08:45,0.000,,
2018-12-03 08:45  to 2018-12-03 09:00,0.000,,
2018-12-03 09:00  to 2018-12-03 09:15,0.000,,
2018-12-03 09:15  to 2018-12-03 09:30,0.000,,
