2018-05-21 03:30  to 2018-05-21 03:45,0.000,,
2018-05-21 03:45  to 2018-05-21 04:00,0.000,,
2018-05-21 04:00  to 2018-05-21 04:15,0.000,,
2018-05-21 04:15  to 2018-05-21 04:30,0.000,,
2018-05-21 04:30  to 2018-05-21 04:45,0.000,,
2018-05-21 04:45  to 2018-05-21 05:00,0.000,,
2018-05-21 05:00  to 2018-05-21 05:15,0.000,,
2018-05-21 05:15  to 2018-05-21 05:30,0.000,,
2018-05-21 05:30  to 2018-05-21 05:45,0.000,,
2018-05-21 05:45  to 2018-05-21 06:00,0.000,,
2018-05-21 06:00  to 2018-05-21 06:15,0.000,,
2018-05-21 06:15  to 2018-05-21 06:30,0.000,,
2018-05-21 06:30  to 2018-05-21 06:45,0.000,,
2018-05-21 06:45  to 2018-05-21 07:00,0.000,,
2018-05-21 07:00  to 2018-05-21 07:15,0.000,,
2018-05-21 07:15  to 2018-05-21 07:30,0.000,,
2018-05-21 07:30  to 2018-05-21 07:45,0.000,,
2018-05-21 07:45  to 2018-05-21 08:00,0.000,,
2018-05-21 08:00  to 2018-05-21 08:15,0.000,,
2018-05-21 08:15  to 2018-05-21 08:30,0.000,,
2018-05-21 08:30  to 2018-05-21 08:45,0.000,,
2018-05-21 08:45  to 2018-05-21 09:00,0.000,,
2018-05-21 09:00  to 2018-05-21 09:15,0.000,,
2018-05-21 09:15  to 2018-05-21 09:30,0.000,,
2018-05-21 09:30  to 2018-05-21 09:45,0.039,,
2018-05-21 09:45  to 2018-05-21 10:00,0.025,,
2018-05-21 10:00  to 2018-05-21 10:15,0.017,,
2018-05-21 10:15  to 2018-05-21 10:30,0.000,,
2018-05-21 10:30  to 2018-05-21 10:45,0.000,,
2018-05-21 10:45  to 2018-05-21 11:00,0.011,,
2018-05-21 11:00  to 2018-05-21 11:15,0.002,,
2018-05-21 11:15  to 2018-05-21 11:30,0.000,,
2018-05-21 11:30  to 2018-05-21 11:45,0.000,,
2018-05-21 11:45  to 2018-05-21 12:00,0.010,,
2018-05-21 12:00  to 2018-05-21 12:15,0.024,,
2018-05-21 12:15  to 2018-05-21 12:30,0.002,,
2018-05-21 12:30  to 2018-05-21 12:45,0.007,,
2018-05-21 12:45  to 2018-05-21 13:00,0.028,,
2018-05-21 13:00  to 2018-05-21 13:15,0.019,,
2018-05-21 13:15  to 2018-05-21 13:30,0.004,,
2018-05-21 13:30  to 2018-05-21 13:45,0.020,,
2018-05-21 13:45  to 2018-05-21 14:00,0.041,,
2018-05-21 14:00  to 2018-05-21 14:15,0.039,,
2018-05-21 14:15  to 2018-05-21 14:30,0.006,,
2018-05-21 14:30  to 2018-05-21 14:45,0.031,,
2018-05-21 14:45  to 2018-05-21 15:00,0.022,,
2018-05-21 15:00  to 2018-05-21 15:15,0.000,,
2018-05-21 15:15  to 2018-05-21 15:30,0.000,,
2018-05-21 15:30  to 2018-05-21 15:45,0.000,,
2018-05-21 15:45  to 2018-05-21 16:00,0.002,,
2018-05-21 16:00  to 2018-05-21 16:15,0.001,,
2018-05-21 16:15  to 2018-05-21 16:30,0.004,,
2018-05-21 16:30  to 2018-05-21 16:45,0.005,,
2018-05-21 16:45  to 2018-05-21 17:00,0.000,,
2018-05-21 17:00  to 2018-05-21 17:15,0.000,,
2018-05-21 17:15  to 2018-05-21 17:30,0.000,,
2018-05-21 17:30  to 2018-05-21 17:45,0.000,,
2018-05-21 17:45  to 2018-05-21 18:00,0.000,,
2018-05-21 18:00  to 2018-05-21 18:15,0.000,,
2018-05-21 18:15  to 2018-05-21 18:30,0.000,,
2018-05-21 18:30  to 2018-05-21 18:45,0.000,,
2018-05-21 18:45  to 2018-05-21 19:00,0.000,,
2018-05-21 19:00  to 2018-05-21 19:15,0.000,,
2018-05-21 19:15  to 2018-05-21 19:30,0.000,,
2018-05-21 19:30  to 2018-05-21 19:45,0.000,,
2018-05-21 19:45  to 2018-05-21 20:00,0.000,,
2018-05-21 20:00  to 2018-05-21 20:15,0.000,,
2018-05-21 20:15  to 2018-05-21 20:30,0.000,,
2018-05-21 20:30  to 2018-05-21 20:45,0.000,,
2018-05-21 20:45  to 2018-05-21 21:00,0.000,,
2018-05-21 21:00  to 2018-05-21 21:15,0.000,,
2018-05-21 21:15  to 2018-05-21 21:30,0.000,,
2018-05-21 21:30  to 2018-05-21 21:45,0.000,,
2018-05-21 21:45  to 2018-05-21 22:00,0.000,,
2018-05-21 22:00  to 2018-05-21 22:15,0.000,,
2018-05-21 22:15  to 2018-05-21 22:30,0.000,,
2018-05-21 22:30  to 2018-05-21 22:45,0.000,,
2018-05-21 22:45  to 2018-05-21 23:00,0.000,,
2018-05-21 23:00  to 2018-05-21 23:15,0.000,,
2018-05-21 23:15  to 2018-05-21 23:30,0.000,,
2018-05-21 23:30  to 2018-05-21 23:45,0.000,,
2018-05-21 23:45  to 2018-05-22 00:00,0.000,,

========================================
Interval Blockdata for period starting:, 2018-05-22 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2018-05-22 00:00  to 2018-05-22 00:15,0.000,,
2018-05-22 00:15  to 2018-05-22 00:30,0.000,,
2018-05-22 00:30  to 2018-05-22 00:45,0.000,,
2018-05-22 00:45  to 2018-05-22 01:00,0.000,,
2018-05-22 01:00  to 2018-05-22 01:15,0.000,,
2018-05-22 01:15  to 2018-05-22 01:30,0.000,,
2018-05-22 01:30  to 2018-05-22 01:45,0.000,,
2018-05-22 01:45  to 2018-05-22 02:00,0.000,,
2018-05-22 02:00  to 2018-05-22 02:15,0.000,,
2018-05-22 02:15  to 2018-05-22 02:30,0.000,,
2018-05-22 02:30  to 2018-05-22 02:45,0.000,,
2018-05-22 02:45  to 2018-05-22 03:00,0.000,,
2018-05-22 03:00  to 2018-05-22 03:15,0.000,,
2018-05-22 03:15  to 2018-05-22 03:30,0.000,,
2018-05-22 03:30  to 2018-05-22 03:45,0.000,,
2018-05-22 03:45  to 2018-05-22 04:00,0.000,,
2018-05-22 04:00  to 2018-05-22 04:15,0.000,,
2018-05-22 04:15  to 2018-05-22 04:30,0.000,,
2018-05-22 04:30  to 2018-05-22 04:45,0.000,,
2018-05-22 04:45  to 2018-05-22 05:00,0.000,,
2018-05-22 05:00  to 2018-05-22 05:15,0.000,,
2018-05-22 05:15  to 2018-05-22 05:30,0.000,,
2018-05-22 05:30  to 2018-05-22 05:45,0.000,,
2018-05-22 05:45  to 2018-05-22 06:00,0.000,,
2018-05-22 06:00  to 2018-05-22 06:15,0.000,,
2018-05-22 06:15  to 2018-05-22 06:30,0.000,,
2018-05-22 06:30  to 2018-05-22 06:45,0.000,,
2018-05-22 06:45  to 2018-05-22 07:00,0.000,,
2018-05-22 07:00  to 2018-05-22 07:15,0.000,,
2018-05-22 07:15  to 2018-05-22 07:30,0.000,,
2018-05-22 07:30  to 2018-05-22 07:45,0.006,,
2018-05-22 07:45  to 2018-05-22 08:00,0.059,,
2018-05-22 08:00  to 2018-05-22 08:15,0.035,,
2018-05-22 08:15  to 2018-05-22 08:30,0.014,,
2018-05-22 08:30  to 2018-05-22 08:45,0.122,,
2018-05-22 08:45  to 2018-05-22 09:00,0.110,,
2018-05-22 09:00  to 2018-05-22 09:15,0.301,,
2018-05-22 09:15  to 2018-05-22 09:30,0.147,,
2018-05-22 09:30  to 2018-05-22 09:45,0.119,,
2018-05-22 09:45  to 2018-05-22 10:00,0.193,,
2018-05-22 10:00  to 2018-05-22 10:15,0.131,,
2018-05-22 10:15  to 2018-05-22 10:30,0.003,,
2018-05-22 10:30  to 2018-05-22 10:45,0.143,,
2018-05-22 10:45  to 2018-05-22 11:00,0.195,,
2018-05-22 11:00  to 2018-05-22 11:15,0.099,,
2018-05-22 11:15  to 2018-05-22 11:30,0.018,,
2018-05-22 11:30  to 2018-05-22 11:45,0.000,,
2018-05-22 11:45  to 2018-05-22 12:00,0.000,,
2018-05-22 12:00  to 2018-05-22 12:15,0.000,,
2018-05-22 12:15  to 2018-05-22 12:30,0.020,,
2018-05-22 12:30  to 2018-05-22 12:45,0.021,,
2018-05-22 12:45  to 2018-05-22 13:00,0.000,,
2018-05-22 13:00  to 2018-05-22 13:15,0.088,,
2018-05-22 13:15  to 2018-05-22 13:30,0.128,,
2018-05-22 13:30  to 2018-05-22 13:45,0.066,,
2018-05-22 13:45  to 2018-05-22 14:00,0.098,,
2018-05-22 14:00  to 2018-05-22 14:15,0.080,,
2018-05-22 14:15  to 2018-05-22 14:30,0.181,,
2018-05-22 14:30  to 2018-05-22 14:45,0.055,,
2018-05-22 14:45  to 2018-05-22 15:00,0.075,,
2018-05-22 15:00  to 2018-05-22 15:15,0.170,,
2018-05-22 15:15  to 2018-05-22 15:30,0.144,,
2018-05-22 15:30  to 2018-05-22 15:45,0.215,,
2018-05-22 15:45  to 2018-05-22 16:00,0.202,,
2018-05-22 16:00  to 2018-05-22 16:15,0.104,,
2018-05-22 16:15  to 2018-05-22 16:30,0.072,,
2018-05-22 16:30  to 2018-05-22 16:45,0.003,,
2018-05-22 16:45  to 2018-05-22 17:00,0.000,,
2018-05-22 17:00  to 2018-05-22 17:15,0.015,,
2018-05-22 17:15  to 2018-05-22 17:30,0.002,,
2018-05-22 17:30  to 2018-05-22 17:45,0.000,,
2018-05-22 17:45  to 2018-05-22 18:00,0.000,,
2018-05-22 18:00  to 2018-05-22 18:15,0.000,,
2018-05-22 18:15  to 2018-05-22 18:30,0.000,,
2018-05-22 18:30  to 2018-05-22 18:45,0.000,,
2018-05-22 18:45  to 2018-05-22 19:00,0.000,,
2018-05-22 19:00  to 2018-05-22 19:15,0.000,,
2018-05-22 19:15  to 2018-05-22 19:30,0.000,,
2018-05-22 19:30  to 2018-05-22 19:45,0.000,,
2018-05-22 19:45  to 2018-05-22 20:00,0.000,,
2018-05-22 20:00  to 2018-05-22 20:15,0.000,,
2018-05-22 20:15  to 2018-05-22 20:30,0.000,,
2018-05-22 20:30  to 2018-05-22 20:45,0.000,,
2018-05-22 20:45  to 2018-05-22 21:00,0.000,,
2018-05-22 21:00  to 2018-05-22 21:15,0.000,,
2018-05-22 21:15  to 2018-05-22 21:30,0.000,,
2018-05-22 21:30  to 2018-05-22 21:45,0.000,,
2018-05-22 21:45  to 2018-05-22 22:00,0.000,,
2018-05-22 22:00  to 2018-05-22 22:15,0.000,,
2018-05-22 22:15  to 2018-05-22 22:30,0.000,,
2018-05-22 22:30  to 2018-05-22 22:45,0.000,,
2018-05-22 22:45  to 2018-05-22 23:00,0.000,,
2018-05-22 23:00  to 2018-05-22 23:15,0.000,,
2018-05-22 23:15  to 2018-05-22 23:30,0.000,,
2018-05-22 23:30  to 2018-05-22 23:45,0.000,,
2018-05-22 23:45  to 2018-05-23 00:00,0.000,,
