========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-02-01 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-02-01 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2019-02-01 00:00  to 2019-02-01 00:15,0.000,,
2019-02-01 00:15  to 2019-02-01 00:30,0.000,,
2019-02-01 00:30  to 2019-02-01 00:45,0.000,,
2019-02-01 00:45  to 2019-02-01 01:00,0.000,,
2019-02-01 01:00  to 2019-02-01 01:15,0.000,,
2019-02-01 01:15  to 2019-02-01 01:30,0.000,,
2019-02-01 01:30  to 2019-02-01 01:45,0.000,,
2019-02-01 01:45  to 2019-02-01 02:00,0.000,,
2019-02-01 02:00  to 2019-02-01 02:15,0.000,,
2019-02-01 02:15  to 2019-02-01 02:30,0.000,,
2019-02-01 02:30  to 2019-02-01 02:45,0.000,,
2019-02-01 02:45  to 2019-02-01 03:00,0.000,,
2019-02-01 03:00  to 2019-02-01 03:15,0.000,,
2019-02-01 03:15  to 2019-02-01 03:30,0.000,,
2019-02-01 03:30  to 2019-02-01 03:45,0.000,,
2019-02-01 03:45  to 2019-02-01 04:00,0.000,,
2019-02-01 04:00  to 2019-02-01 04:15,0.000,,
2019-02-01 04:15  to 2019-02-01 04:30,0.000,,
2019-02-01 04:30  to 2019-02-01 04:45,0.000,,
2019-02-01 04:45  to 2019-02-01 05:00,0.000,,
2019-02-01 05:00  to 2019-02-01 05:15,0.000,,
2019-02-01 05:15  to 2019-02-01 05:30,0.000,,
2019-02-01 05:30  to 2019-02-01 05:45,0.000,,
2019-02-01 05:45  to 2019-02-01 06:00,0.000,,
2019-02-01 06:00  to 2019-02-01 06:15,0.000,,
2019-02-01 06:15  to 2019-02-01 06:30,0.000,,
2019-02-01 06:30  to 2019-02-01 06:45,0.000,,
2019-02-01 06:45  to 2019-02-01 07:00,0.000,,
2019-02-01 07:00  to 2019-02-01 07:15,0.000,,
2019-02-01 07:15  to 2019-02-01 07:30,0.000,,
2019-02-01 07:30  to 2019-02-01 07:45,0.000,,
2019-02-01 07:45  to 2019-02-01 08:00,0.000,,
2019-02-01 08:00  to 2019-02-01 08:15,0.000,,
2019-02-01 08:15  to 2019-02-01 08:30,0.000,,
2019-02-01 08:30  to 2019-02-01 08:45,0.000,,
2019-02-01 08:45  to 2019-02-01 09:00,0.000,,
2019-02-01 09:00  to 2019-02-01 09:15,0.000,,
2019-02-01 09:15  to 2019-02-01 09:30,0.000,,
2019-02-01 09:30  to 2019-02-01 09:45,0.000,,
2019-02-01 09:45  to 2019-02-01 10:00,0.000,,
2019-02-01 10:00  to 2019-02-01 10:15,0.000,,
2019-02-01 10:15  to 2019-02-01 10:30,0.000,,
2019-02-01 10:30  to 2019-02-01 10:45,0.000,,
2019-02-01 10:45  to 2019-02-01 11:00,0.000,,
2019-02-01 11:00  to 2019-02-01 11:15,0.000,,
2019-02-01 11:15  to 2019-02-01 11:30,0.000,,
2019-02-01 11:30  to 2019-02-01 11:45,0.000,,
2019-02-01 11:45  to 2019-02-01 12:00,0.000,,
2019-02-01 12:00  to 2019-02-01 12:15,0.000,,
2019-02-01 12:15  to 2019-02-01 12:30,0.000,,
2019-02-01 12:30  to 2019-02-01 12:45,0.000,,
2019-02-01 12:45  to 2019-02-01 13:00,0.000,,
2019-02-01 13:00  to 2019-02-01 13:15,0.000,,
2019-02-01 13:15  to 2019-02-01 13:30,0.000,,
2019-02-01 13:30  to 2019-02-01 13:45,0.000,,
2019-02-01 13:45  to 2019-02-01 14:00,0.000,,
2019-02-01 14:00  to 2019-02-01 14:15,0.000,,
2019-02-01 14:15  to 2019-02-01 14:30,0.000,,
2019-02-01 14:30  to 2019-02-01 14:45,0.000,,
2019-02-01 14:45  to 2019-02-01 15:00,0.000,,
2019-02-01 15:00  to 2019-02-01 15:15,0.000,,
2019-02-01 15:15  to 2019-02-01 15:30,0.000,,
2019-02-01 15:30  to 2019-02-01 15:45,0.000,,
2019-02-01 15:45  to 2019-02-01 16:00,0.000,,
2019-02-01 16:00  to 2019-02-01 16:15,0.000,,
2019-02-01 16:15  to 2019-02-01 16:30,0.000,,
2019-02-01 16:30  to 2019-02-01 16:45,0.000,,
2019-02-01 16:45  to 2019-02-01 17:00,0.000,,
2019-02-01 17:00  to 2019-02-01 17:15,0.000,,
2019-02-01 17:15  to 2019-02-01 17:30,0.000,,
2019-02-01 17:30  to 2019-02-01 17:45,0.000,,
2019-02-01 17:45  to 2019-02-01 18:00,0.000,,
