========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-06-21 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-06-21 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2018-06-21 00:00  to 2018-06-21 00:15,0.000,,
2018-06-21 00:15  to 2018-06-21 00:30,0.000,,
2018-06-21 00:30  to 2018-06-21 00:45,0.000,,
2018-06-21 00:45  to 2018-06-21 01:00,0.000,,
2018-06-21 01:00  to 2018-06-21 01:15,0.000,,
2018-06-21 01:15  to 2018-06-21 01:30,0.000,,
2018-06-21 01:30  to 2018-06-21 01:45,0.000,,
2018-06-21 01:45  to 2018-06-21 02:00,0.000,,
2018-06-21 02:00  to 2018-06-21 02:15,0.000,,
2018-06-21 02:15  to 2018-06-21 02:30,0.000,,
2018-06-21 02:30  to 2018-06-21 02:45,0.000,,
2018-06-21 02:45  to 2018-06-21 03:00,0.000,,
2018-06-21 03:00  to 2018-06-21 03:15,0.000,,
2018-06-21 03:15  to 2018-06-21 03:30,0.000,,
2018-06-21 03:30  to 2018-06-21 03:45,0.000,,
2018-06-21 03:45  to 2018-06-21 04:00,0.000,,
2018-06-21 04:00  to 2018-06-21 04:15,0.000,,
2018-06-21 04:15  to 2018-06-21 04:30,0.000,,
2018-06-21 04:30  to 2018-06-21 04:45,0.000,,
2018-06-21 04:45  to 2018-06-21 05:00,0.000,,
2018-06-21 05:00  to 2018-06-21 05:15,0.000,,
2018-06-21 05:15  to 2018-06-21 05:30,0.000,,
2018-06-21 05:30  to 2018-06-21 05:45,0.000,,
2018-06-21 05:45  to 2018-06-21 06:00,0.000,,
2018-06-21 06:00  to 2018-06-21 06:15,0.000,,
2018-06-21 06:15  to 2018-06-21 06:30,0.000,,
2018-06-21 06:30  to 2018-06-21 06:45,0.000,,
2018-06-21 06:45  to 2018-06-21 07:00,0.000,,
2018-06-21 07:00  to 2018-06-21 07:15,0.000,,
2018-06-21 07:15  to 2018-06-21 07:30,0.000,,
2018-06-21 07:30  to 2018-06-21 07:45,0.000,,
2018-06-21 07:45  to 2018-06-21 08:00,0.000,,
2018-06-21 08:00  to 2018-06-21 08:15,0.000,,
2018-06-21 08:15  to 2018-06-21 08:30,0.000,,
2018-06-21 08:30  to 2018-06-21 08:45,0.000,,
2018-06-21 08:45  to 2018-06-21 09:00,0.000,,
2018-06-21 09:00  to 2018-06-21 09:15,0.000,,
2018-06-21 09:15  to 2018-06-21 09:30,0.000,,
2018-06-21 09:30  to 2018-06-21 09:45,0.000,,
2018-06-21 09:45  to 2018-06-21 10:00,0.000,,
2018-06-21 10:00  to 2018-06-21 10:15,0.000,,
2018-06-21 10:15  to 2018-06-21 10:30,0.000,,
2018-06-21 10:30  to 2018-06-21 10:45,0.000,,
2018-06-21 10:45  to 2018-06-21 11:00,0.000,,
2018-06-21 11:00  to 2018-06-21 11:15,0.000,,
2018-06-21 11:15  to 2018-06-21 11:30,0.000,,
2018-06-21 11:30  to 2018-06-21 11:45,0.000,,
2018-06-21 11:45  to 2018-06-21 12:00,0.000,,
2018-06-21 12:00  to 2018-06-21 12:15,0.000,,
2018-06-21 12:15  to 2018-06-21 12:30,0.000,,
2018-06-21 12:30  to 2018-06-21 12:45,0.000,,
2018-06-21 12:45  to 2018-06-21 13:00,0.000,,
2018-06-21 13:00  to 2018-06-21 13:15,0.000,,
