2018-08-19 03:30  to 2018-08-19 03:45,0.000,,
2018-08-19 03:45  to 2018-08-19 04:00,0.000,,
2018-08-19 04:00  to 2018-08-19 04:15,0.000,,
2018-08-19 04:15  to 2018-08-19 04:30,0.000,,
2018-08-19 04:30  to 2018-08-19 04:45,0.000,,
2018-08-19 04:45  to 2018-08-19 05:00,0.000,,
2018-08-19 05:00  to 2018-08-19 05:15,0.000,,
2018-08-19 05:15  to 2018-08-19 05:30,0.000,,
2018-08-19 05:30  to 2018-08-19 05:45,0.000,,
2018-08-19 05:45  to 2018-08-19 06:00,0.000,,
2018-08-19 06:00  to 2018-08-19 06:15,0.000,,
2018-08-19 06:15  to 2018-08-19 06:30,0.000,,
2018-08-19 06:30  to 2018-08-19 06:45,0.002,,
2018-08-19 06:45  to 2018-08-19 07:00,0.004,,
2018-08-19 07:00  to 2018-08-19 07:15,0.002,,
2018-08-19 07:15  to 2018-08-19 07:30,0.024,,
2018-08-19 07:30  to 2018-08-19 07:45,0.068,,
2018-08-19 07:45  to 2018-08-19 08:00,0.171,,
2018-08-19 08:00  to 2018-08-19 08:15,0.206,,
2018-08-19 08:15  to 2018-08-19 08:30,0.194,,
2018-08-19 08:30  to 2018-08-19 08:45,0.223,,
2018-08-19 08:45  to 2018-08-19 09:00,0.240,,
2018-08-19 09:00  to 2018-08-19 09:15,0.220,,
2018-08-19 09:15  to 2018-08-19 09:30,0.238,,
2018-08-19 09:30  to 2018-08-19 09:45,0.111,,
2018-08-19 09:45  to 2018-08-19 10:00,0.113,,
2018-08-19 10:00  to 2018-08-19 10:15,0.148,,
2018-08-19 10:15  to 2018-08-19 10:30,0.165,,
2018-08-19 10:30  to 2018-08-19 10:45,0.264,,
2018-08-19 10:45  to 2018-08-19 11:00,0.185,,
2018-08-19 11:00  to 2018-08-19 11:15,0.220,,
2018-08-19 11:15  to 2018-08-19 11:30,0.149,,
2018-08-19 11:30  to 2018-08-19 11:45,0.113,,
2018-08-19 11:45  to 2018-08-19 12:00,0.115,,
2018-08-19 12:00  to 2018-08-19 12:15,0.153,,
2018-08-19 12:15  to 2018-08-19 12:30,0.267,,
2018-08-19 12:30  to 2018-08-19 12:45,0.168,,
2018-08-19 12:45  to 2018-08-19 13:00,0.120,,
2018-08-19 13:00  to 2018-08-19 13:15,0.158,,
2018-08-19 13:15  to 2018-08-19 13:30,0.114,,
2018-08-19 13:30  to 2018-08-19 13:45,0.004,,
2018-08-19 13:45  to 2018-08-19 14:00,0.000,,
2018-08-19 14:00  to 2018-08-19 14:15,0.000,,
2018-08-19 14:15  to 2018-08-19 14:30,0.000,,
2018-08-19 14:30  to 2018-08-19 14:45,0.000,,
2018-08-19 14:45  to 2018-08-19 15:00,0.000,,
2018-08-19 15:00  to 2018-08-19 15:15,0.000,,
2018-08-19 15:15  to 2018-08-19 15:30,0.000,,
2018-08-19 15:30  to 2018-08-19 15:45,0.069,,
2018-08-19 15:45  to 2018-08-19 16:00,0.073,,
2018-08-19 16:00  to 2018-08-19 16:15,0.070,,
2018-08-19 16:15  to 2018-08-19 16:30,0.028,,
2018-08-19 16:30  to 2018-08-19 16:45,0.045,,
2018-08-19 16:45  to 2018-08-19 17:00,0.045,,
2018-08-19 17:00  to 2018-08-19 17:15,0.000,,
2018-08-19 17:15  to 2018-08-19 17:30,0.000,,
2018-08-19 17:30  to 2018-08-19 17:45,0.000,,
2018-08-19 17:45  to 2018-08-19 18:00,0.000,,
2018-08-19 18:00  to 2018-08-19 18:15,0.000,,
2018-08-19 18:15  to 2018-08-19 18:30,0.000,,
2018-08-19 18:30  to 2018-08-19 18:45,0.000,,
2018-08-19 18:45  to 2018-08-19 19:00,0.000,,
2018-08-19 19:00  to 2018-08-19 19:15,0.000,,
2018-08-19 19:15  to 2018-08-19 19:30,0.000,,
2018-08-19 19:30  to 2018-08-19 19:45,0.000,,
2018-08-19 19:45  to 2018-08-19 20:00,0.000,,
2018-08-19 20:00  to 2018-08-19 20:15,0.000,,
2018-08-19 20:15  to 2018-08-19 20:30,0.000,,
2018-08-19 20:30  to 2018-08-19 20:45,0.000,,
2018-08-19 20:45  to 2018-08-19 21:00,0.000,,
2018-08-19 21:00  to 2018-08-19 21:15,0.000,,
2018-08-19 21:15  to 2018-08-19 21:30,0.000,,
2018-08-19 21:30  to 2018-08-19 21:45,0.000,,
2018-08-19 21:45  to 2018-08-19 22:00,0.000,,
2018-08-19 22:00  to 2018-08-19 22:15,0.000,,
2018-08-19 22:15  to 2018-08-19 22:30,0.000,,
2018-08-19 22:30  to 2018-08-19 22:45,0.000,,
2018-08-19 22:45  to 2018-08-19 23:00,0.000,,
2018-08-19 23:00  to 2018-08-19 23:15,0.000,,
2018-08-19 23:15  to 2018-08-19 23:30,0.000,,
2018-08-19 23:30  to 2018-08-19 23:45,0.000,,
2018-08-19 23:45  to 2018-08-20 00:00,0.000,,

========================================
Interval Blockdata for period starting:, 2018-08-20 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2018-08-20 00:00  to 2018-08-20 00:15,0.000,,
2018-08-20 00:15  to 2018-08-20 00:30,0.000,,
2018-08-20 00:30  to 2018-08-20 00:45,0.000,,
2018-08-20 00:45  to 2018-08-20 01:00,0.000,,
2018-08-20 01:00  to 2018-08-20 01:15,0.000,,
2018-08-20 01:15  to 2018-08-20 01:30,0.000,,
2018-08-20 01:30  to 2018-08-20 01:45,0.000,,
2018-08-20 01:45  to 2018-08-20 02:00,0.000,,
2018-08-20 02:00  to 2018-08-20 02:15,0.000,,
2018-08-20 02:15  to 2018-08-20 02:30,0.000,,
2018-08-20 02:30  to 2018-08-20 02:45,0.000,,
2018-08-20 02:45  to 2018-08-20 03:00,0.000,,
2018-08-20 03:00  to 2018-08-20 03:15,0.000,,
2018-08-20 03:15  to 2018-08-20 03:30,0.000,,
2018-08-20 03:30  to 2018-08-20 03:45,0.000,,
2018-08-20 03:45  to 2018-08-20 04:00,0.000,,
2018-08-20 04:00  to 2018-08-20 04:15,0.000,,
2018-08-20 04:15  to 2018-08-20 04:30,0.000,,
2018-08-20 04:30  to 2018-08-20 04:45,0.000,,
2018-08-20 04:45  to 2018-08-20 05:00,0.000,,
2018-08-20 05:00  to 2018-08-20 05:15,0.000,,
2018-08-20 05:15  to 2018-08-20 05:30,0.000,,
2018-08-20 05:30  to 2018-08-20 05:45,0.000,,
2018-08-20 05:45  to 2018-08-20 06:00,0.000,,
2018-08-20 06:00  to 2018-08-20 06:15,0.000,,
2018-08-20 06:15  to 2018-08-20 06:30,0.000,,
2018-08-20 06:30  to 2018-08-20 06:45,0.000,,
2018-08-20 06:45  to 2018-08-20 07:00,0.000,,
2018-08-20 07:00  to 2018-08-20 07:15,0.000,,
2018-08-20 07:15  to 2018-08-20 07:30,0.000,,
2018-08-20 07:30  to 2018-08-20 07:45,0.000,,
2018-08-20 07:45  to 2018-08-20 08:00,0.000,,
2018-08-20 08:00  to 2018-08-20 08:15,0.000,,
2018-08-20 08:15  to 2018-08-20 08:30,0.000,,
2018-08-20 08:30  to 2018-08-20 08:45,0.000,,
2018-08-20 08:45  to 2018-08-20 09:00,0.000,,
2018-08-20 09:00  to 2018-08-20 09:15,0.000,,
2018-08-20 09:15  to 2018-08-20 09:30,0.000,,
2018-08-20 09:30  to 2018-08-20 09:45,0.000,,
2018-08-20 09:45  to 2018-08-20 10:00,0.000,,
2018-08-20 10:00  to 2018-08-20 10:15,0.000,,
2018-08-20 10:15  to 2018-08-20 10:30,0.000,,
2018-08-20 10:30  to 2018-08-20 10:45,0.004,,
2018-08-20 10:45  to 2018-08-20 11:00,0.000,,
2018-08-20 11:00  to 2018-08-20 11:15,0.000,,
2018-08-20 11:15  to 2018-08-20 11:30,0.004,,
2018-08-20 11:30  to 2018-08-20 11:45,0.001,,
2018-08-20 11:45  to 2018-08-20 12:00,0.024,,
2018-08-20 12:00  to 2018-08-20 12:15,0.007,,
2018-08-20 12:15  to 2018-08-20 12:30,0.001,,
2018-08-20 12:30  to 2018-08-20 12:45,0.006,,
2018-08-20 12:45  to 2018-08-20 13:00,0.001,,
2018-08-20 13:00  to 2018-08-20 13:15,0.000,,
2018-08-20 13:15  to 2018-08-20 13:30,0.000,,
2018-08-20 13:30  to 2018-08-20 13:45,0.000,,
2018-08-20 13:45  to 2018-08-20 14:00,0.000,,
2018-08-20 14:00  to 2018-08-20 14:15,0.000,,
2018-08-20 14:15  to 2018-08-20 14:30,0.000,,
2018-08-20 14:30  to 2018-08-20 14:45,0.000,,
2018-08-20 14:45  to 2018-08-20 15:00,0.000,,
2018-08-20 15:00  to 2018-08-20 15:15,0.000,,
2018-08-20 15:15  to 2018-08-20 15:30,0.000,,
2018-08-20 15:30  to 2018-08-20 15:45,0.000,,
2018-08-20 15:45  to 2018-08-20 16:00,0.000,,
2018-08-20 16:00  to 2018-08-20 16:15,0.000,,
2018-08-20 16:15  to 2018-08-20 16:30,0.000,,
2018-08-20 16:30  to 2018-08-20 16:45,0.000,,
2018-08-20 16:45  to 2018-08-20 17:00,0.000,,
2018-08-20 17:00  to 2018-08-20 17:15,0.000,,
2018-08-20 17:15  to 2018-08-20 17:30,0.000,,
2018-08-20 17:30  to 2018-08-20 17:45,0.000,,
2018-08-20 17:45  to 2018-08-20 18:00,0.000,,
2018-08-20 18:00  to 2018-08-20 18:15,0.000,,
2018-08-20 18:15  to 2018-08-20 18:30,0.000,,
2018-08-20 18:30  to 2018-08-20 18:45,0.000,,
2018-08-20 18:45  to 2018-08-20 19:00,0.000,,
2018-08-20 19:00  to 2018-08-20 19:15,0.000,,
2018-08-20 19:15  to 2018-08-20 19:30,0.000,,
2018-08-20 19:30  to 2018-08-20 19:45,0.000,,
2018-08-20 19:45  to 2018-08-20 20:00,0.000,,
2018-08-20 20:00  to 2018-08-20 20:15,0.000,,
2018-08-20 20:15  to 2018-08-20 20:30,0.000,,
2018-08-20 20:30  to 2018-08-20 20:45,0.000,,
2018-08-20 20:45  to 2018-08-20 21:00,0.000,,
2018-08-20 21:00  to 2018-08-20 21:15,0.000,,
2018-08-20 21:15  to 2018-08-20 21:30,0.000,,
2018-08-20 21:30  to 2018-08-20 21:45,0.000,,
2018-08-20 21:45  to 2018-08-20 22:00,0.000,,
2018-08-20 22:00  to 2018-08-20 22:15,0.000,,
2018-08-20 22:15  to 2018-08-20 22:30,0.000,,
2018-08-20 22:30  to 2018-08-20 22:45,0.000,,
2018-08-20 22:45  to 2018-08-20 23:00,0.000,,
2018-08-20 23:00  to 2018-08-20 23:15,0.000,,
2018-08-20 23:15  to 2018-08-20 23:30,0.000,,
2018-08-20 23:30  to 2018-08-20 23:45,0.000,,
2018-08-20 23:45  to 2018-08-21 00:00,0.000,,
